"country","days.to.start_rel","days.to.10pct_fromstart","daily.vac.per.mil_6moavg","people_vaccinated_per_hundred_last","daily.vac.per.mil_max","total_vaccinations_per_hundred_last","people_fully_vaccinated_per_hundred_last","VSI"
"Andorra",54,70,3697.16666666667,74.74,11182,196.5,68.99,1.80378413840912
"Argentina",27,123,1928.33333333333,89.34,8312,206.22,80.04,1.71586843317831
"Australia",81,100,3166.33333333333,85.56,10921,210,79.46,1.83862797112805
"Austria",37,84,5678.16666666667,75.28,12020,199.84,72.72,2.33900314367311
"Azerbaijan",46,135,2975.66666666667,51.93,8051,128.72,46.91,-0.0132282937813599
"Bahrain",21,68,5392.33333333333,70.43,11032,195.06,69.38,2.21093067653633
"Bangladesh",55,219,265.5,75.35,9037,129.76,51.91,-0.294139997448609
"Barbados",75,14,4565.5,55.68,10942,107.65,51.98,0.86197022369106
"Belarus",26,202,667.4,60.19,7137,116.99,54.08,-0.43396054998512
"Belgium",26,94,3526,79.27,10113,215.36,78.09,2.11204681535461
"Belize",88,64,2035,57.99,9928,113.81,51.18,0.125198838653674
"Bermuda",39,27,8555,76.24,12449,201.45,74.48,3.1345101725083
"Bolivia",62,119,2656.66666666667,58.57,5727,106.39,47.36,-0.315060406393605
"Brazil",46,104,3029.5,83.1,7650,183.62,72.47,1.4171210917294
"Cambodia",69,112,4426.66666666667,86.29,10902,209.84,81.75,2.11638654426657
"Canada",12,108,3953.66666666667,85.59,13839,213.56,81.24,2.68769290222036
"Cayman Islands",24,40,9365.4,89.39,14391,207.58,86.66,3.95076400984044
"Chile",22,67,4660.16666666667,92.67,10146,254.45,89.76,3.11695177561303
"Colombia",101,80,3842.71428571429,80.77,6683,151.48,65.75,0.85632740228417
"Costa Rica",22,130,2189.33333333333,82.41,6532,186.46,75.11,1.2778784924747
"Croatia",28,122,2763.66666666667,56.52,6834,127.32,54.65,0.226581074985641
"Cuba",161,20,14248.6666666667,93.75,18337,309.4,87.33,4.98596814835163
"Curacao",117,3,4734.16666666667,64.94,11687,148.52,59.6,1.27166948008295
"Cyprus",35,87,5350.5,76.35,10888,192.97,70.98,2.13380289728398
"Denmark",6,114,3771.5,83.25,10393,226.72,82.51,2.43350341267675
"Dominican Republic",75,75,4337,65.14,6632,139.55,53.52,0.567448435688456
"Ecuador",49,132,1740.66666666667,82.59,14369,178.87,75.83,1.67158735660326
"El Salvador",77,76,3976.16666666667,70.19,10293,157.83,65.54,1.2184618839476
"Estonia",25,95,3406.66666666667,64.7,6693,147.54,63.37,0.873376788837899
"Faeroe Islands",58,69,3710.16666666667,84.98,8603,210.55,83.28,2.07082627289321
"Fiji",105,55,6268.16666666667,74.01,15809,142.78,68.77,2.00660098445039
"Finland",32,91,4211.2,80.37,8396,206.9,76.35,1.98382273036864
"France",25,95,3546.5,80.03,9276,208.92,77.59,2.00955359858698
