"country","people_vaccinated_per_hundred","people_vaccinated","days.to.start_rel","days.to.start_abs","daily.vac.per.mil_6moavg","daily.vac.per.mil_max","daily.vac_max","VSI"
"Andorra",0.74,576,54,54.7916666666667,3697.16666666667,11182,865,0.494337361309971
"Anguilla",0,0,64,64.7916666666667,6016.4,16727,253,0.61316573454622
"Argentina",0.04,20482,27,27.7916666666667,1928.33333333333,8312,379062,0.0599848025506224
"Australia",0,20,81,81.7916666666667,3166.33333333333,10921,281632,-0.158629107776378
"Austria",0.35,31660,37,37.7916666666667,5678.16666666667,12020,108701,0.917832236509866
"Azerbaijan",0,0,46,46.7916666666667,2975.66666666667,8051,82305,0.106238628817968
"Bahrain",2.23,38965,21,21.7916666666667,5392.33333333333,11032,19288,1.75886348419478
"Bangladesh",0,0,55,55.7916666666667,265.5,9037,1502924,-0.564913825486044
"Barbados",1.56,4490,75,75.7916666666667,4565.5,10942,3148,0.83315399448396
"Belarus",0,0,26,26.7916666666667,667.4,7137,67398,-0.223085644127712
"Belgium",0,339,26,26.7916666666667,3526,10113,117636,0.401683648496742
"Belize",0,0,88,88.7916666666667,2035,9928,4020,-0.46719870283932
"Bermuda",0,0,39,39.7916666666667,8555,12449,773,1.38695326466786
"Bhutan",0,0,114,114.791666666667,18333.5,92926,72473,2.86725040518433
"Bolivia",0.01,1589,62,62.7916666666667,2656.66666666667,5727,67772,-0.0995531335611298
"Brazil",0,112,46,46.7916666666667,3029.5,7650,1636986,0.118004323069098
"Cambodia",0,0,69,69.7916666666667,4426.66666666667,10902,184744,0.221925787859718
"Canada",0,5,12,12.7916666666667,3953.66666666667,13839,526827,0.617769297740424
"Cayman Islands",0,0,24,24.7916666666667,9365.4,14391,957,1.69544653380395
"Chile",0,420,22,22.7916666666667,4660.16666666667,10146,194937,0.684597683068719
"Colombia",1.46,749059,101,101.791666666667,3842.71428571429,6683,342609,0.406863759328609
"Costa Rica",0,55,22,22.7916666666667,2189.33333333333,6532,33567,0.144577815350398
"Croatia",0.19,7864,28,28.7916666666667,2763.66666666667,6834,27895,0.294702323080277
"Cuba",0.62,70000,161,161.791666666667,14248.6666666667,18337,207527,1.81458931062287
