"Country.Name","Country.Code","Year","Electricity.Access","Adj.SavingNetCO2Damage","Adj.SavingNaturalResourceDepletion","Adj.SavingNetForestDepletion","Adj.SavingParticulateEmissions","CompulsoryEducationDurationYears","ExportGoodsServices.GDP","FinalConsumptionExpenditure.GDP","ExportGoodsServices.GDP","GDP.PerCapita.Current","Govt.FinalConsumptionExpenditure.GDP","GrossNationalExpenditure.GDP","ImportGoodsServices.GDP","ConsumerPriceInflation","ProportionParliamentSeats.Women","RenewableEnergyConsumption.pctOfTotal","Trade.GDP","WomenInBusinessLawIndex","AnnualProductionBasedCO2Emissions","Continent","WorldBankIncomeClass","IndividualsUsingInternet","LifeExpenctancy","TotalPopulation","RegimeType","RuralPopulation.Prop","TotalNaturalResources.GDP","UrbanPopulation.Prop","WorldRegion"
"Angola","AGO",2001,20,2.560090454,29.55509445,0,1.88683708,4,75.38894373,69.06468829,8936063723,527.3335285,25.15463272,99.55790723,74.94685096,152.5610225,15.45454545,72.33730316,150.3357947,62.5,9.672,"Africa","Low income",0.136013867,47.059,16945753,"Closed Autocracy",48.726,38.4344266558981,51.274,"Sub-Saharan Africa"
"Angola","AGO",2002,26.38386917,1.869648578,18.78964031,0,1.552627189,4,57.0849959,60.63842738,15285594828,872.4944418,19.13057854,91.1316005,48.2167467,108.8974361,15.45454545,70.42099762,105.3017426,62.5,12.598,"Africa","Low income",0.270376746,47.702,17519418,"Closed Autocracy",47.539,27.693386840627,52.461,"Sub-Saharan Africa"
"Angola","AGO",2003,27.4656353,1.182632624,15.72212088,0,1.511743488,4,54.32133738,64.80743881,17812705294,982.9610078,21.85425921,95.25854942,49.57988943,98.22414366,15.45454545,65.14040375,103.9012268,62.5,8.988,"Africa","Low income",0.370682065,48.44,18121477,"Closed Autocracy",46.355,24.0487652730738,53.645,"Sub-Saharan Africa"
"Angola","AGO",2004,28.53676033,1.966160144,29.98468463,0,1.426804837,4,58.38034553,55.92554266,23552052408,1255.564513,14.31205981,86.81921139,45.19957883,43.54210675,15,61.91569901,103.5799244,62.5,18.702,"Africa","Lower-middle income",0.464814618,49.263,18758138,"Closed Autocracy",45.173,40.1937000895514,54.827,"Sub-Saharan Africa"
"Angola","AGO",2005,29.59622383,1.352846216,36.24994624,0,1.238410842,4,65.52626777,47.9818468,36970918699,1902.42215,16.02903718,75.53842659,41.06469436,22.95351385,15,68.37830353,106.5909621,62.5,19.006,"Africa","Lower-middle income",1.143366827,50.165,19433604,"Closed Autocracy",44,45.827184638968,56,"Sub-Saharan Africa"
"Angola","AGO",2006,30.64655495,1.17962134,35.55739597,0,1.137353526,4,63.4678635,44.3886614,52381006892,2599.565948,15.34172241,67.68943232,31.15729583,13.30521018,15,62.12730026,94.62515933,62.5,22.102,"Africa","Lower-middle income",1.5,51.143,20149905,"Closed Autocracy",43.236,43.4900453272377,56.764,"Sub-Saharan Africa"
"Angola","AGO",2007,37.5,1.120249004,39.45408192,0,1.015880657,6,67.90578337,46.51792179,65266452081,3121.996085,15.5369347,72.24850115,40.15428452,12.25149745,15,58.49160004,108.0600679,62.5,24.976,"Africa","Lower-middle income",1.7,52.177,20905360,"Closed Autocracy",42.476,46.2790119276714,57.524,"Sub-Saharan Africa"
"Angola","AGO",2008,38.49,0.920735448,51.59891004,0,0.985841149,6,72.47502847,45.61059733,88538611205,4080.941034,16.81461146,76.41465051,48.88967943,12.47582913,37.27272727,54.88209915,121.3647079,62.5,25.486,"Africa","Lower-middle income",1.9,53.243,21695636,"Closed Autocracy",41.718,55.85217033437,58.282,"Sub-Saharan Africa"
"Angola","AGO",2009,33.80418396,1.207974717,25.83980822,0,1.006770016,6,58.75730302,62.11067749,70307163678,3122.781599,19.89859034,104.9315363,63.68883933,13.73028393,38.63636364,52.41389847,122.4461423,62.5,27.566,"Africa","Lower-middle income",2.3,54.311,22514275,"Closed Autocracy",40.966,30.7324986773529,59.034,"Sub-Saharan Africa"
"Angola","AGO",2010,34.87972641,1.095882374,34.66270013,0,1.037982755,6,61.54311272,52.84009578,83799496611,3587.883645,17.04234392,81.03740555,42.58051724,14.46965649,38.63636364,50.76480103,104.12363,62.5,28.864,"Africa","Lower-middle income",2.8,55.35,23356247,"Electoral Autocracy",40.217,40.1424639055475,59.783,"Sub-Saharan Africa"
