"country","days.to.1d_rel","days.to.1d_abs","days.to.1d_fromstart","days.to.2d_rel","days.to.2d_abs","days.to.2d_fromstart","people_vaccinated_per_hundred","people_vaccinated","days.to.start_rel","days.to.start_abs","days.to.50pct_rel","days.to.50pct_abs","days.to.50pct_fromstart","daily.vac.per.mil_6moavg","daily.vac.per.mil_max","daily.vac.raw_max","daily.vac_max"
"Andorra",321,410.791666666667,356,NA,NA,NA,0.74,576,54,54.7916666666667,133,222.791666666667,168,3697.16666666667,11182,2829,865
"Anguilla",123,212.791666666667,148,NA,NA,NA,0,0,64,64.7916666666667,77,166.791666666667,102,6016.4,16727,NA,253
"Argentina",306,395.791666666667,368,208,454.791666666667,427,0.04,20482,27,27.7916666666667,153,242.791666666667,215,1928.33333333333,8312,455235,379062
"Aruba",365,454.791666666667,NA,NA,NA,NA,NA,NA,NA,NA,63,152.791666666667,NA,NA,11922,478,1278
"Australia",306,395.791666666667,314,208,454.791666666667,373,0,20,81,81.7916666666667,214,303.791666666667,222,3166.33333333333,10921,329845,281632
"Austria",277,366.791666666667,329,NA,NA,NA,0.35,31660,37,37.7916666666667,123,212.791666666667,175,5678.16666666667,12020,NA,108701
"Azerbaijan",370,459.791666666667,413,NA,NA,NA,0,0,46,46.7916666666667,306,395.791666666667,349,2975.66666666667,8051,105699,82305
"Bahrain",184,273.791666666667,252,NA,NA,NA,2.23,38965,21,21.7916666666667,92,181.791666666667,160,5392.33333333333,11032,22842,19288
"Bangladesh",370,459.791666666667,404,NA,NA,NA,0,0,55,55.7916666666667,354,443.791666666667,388,265.5,9037,2131273,1502924
"Barbados",365,454.791666666667,379,NA,NA,NA,1.56,4490,75,75.7916666666667,245,334.791666666667,259,4565.5,10942,16939,3148
"Belarus",342,431.791666666667,405,NA,NA,NA,0,0,26,26.7916666666667,307,396.791666666667,370,667.4,7137,NA,67398
"Belgium",184,273.791666666667,247,180,426.791666666667,400,0,339,26,26.7916666666667,122,211.791666666667,185,3526,10113,137573,117636
"Belize",277,366.791666666667,278,NA,NA,NA,0,0,88,88.7916666666667,249,338.791666666667,250,2035,9928,NA,4020
"Bermuda",186,275.791666666667,236,211,457.791666666667,418,0,0,39,39.7916666666667,62,151.791666666667,112,8555,12449,NA,773
"Bhutan",279,368.791666666667,254,220,466.791666666667,352,0,0,114,114.791666666667,31,120.791666666667,6,18333.5,92926,40072,72473
"Bolivia",365,454.791666666667,392,NA,NA,NA,0.01,1589,62,62.7916666666667,337,426.791666666667,364,2656.66666666667,5727,56709,67772
"Brazil",275,364.791666666667,318,NA,NA,NA,0,112,46,46.7916666666667,184,273.791666666667,227,3029.5,7650,2010073,1636986
"British Virgin Islands",249,338.791666666667,NA,NA,NA,NA,NA,NA,NA,NA,158,247.791666666667,NA,NA,7593,NA,231
"Cambodia",184,273.791666666667,204,208,454.791666666667,385,0,0,69,69.7916666666667,184,273.791666666667,204,4426.66666666667,10902,160418,184744
"Canada",245,334.791666666667,322,180,426.791666666667,414,0,5,12,12.7916666666667,92,181.791666666667,169,3953.66666666667,13839,462511,526827
"Cayman Islands",154,243.791666666667,219,183,429.791666666667,405,0,0,24,24.7916666666667,65,154.791666666667,130,9365.4,14391,1202,957
"Chile",153,242.791666666667,220,208,454.791666666667,432,0,420,22,22.7916666666667,92,181.791666666667,159,4660.16666666667,10146,303508,194937
"China",312,401.791666666667,NA,186,432.791666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,12049,20443000,17401857
"Colombia",337,426.791666666667,325,NA,NA,NA,1.46,749059,101,101.791666666667,214,303.791666666667,202,3842.71428571429,6683,296456,342609
"Cook Islands",141,230.791666666667,NA,NA,NA,NA,NA,NA,NA,NA,141,230.791666666667,NA,NA,31926,NA,561
"Costa Rica",371,460.791666666667,438,NA,NA,NA,0,55,22,22.7916666666667,161,250.791666666667,228,2189.33333333333,6532,NA,33567
"Croatia",337,426.791666666667,398,NA,NA,NA,0.19,7864,28,28.7916666666667,275,364.791666666667,336,2763.66666666667,6834,30268,27895
"Cuba",184,273.791666666667,112,118,364.791666666667,203,0.62,70000,161,161.791666666667,184,273.791666666667,112,14248.6666666667,18337,261765,207527
"Curacao",307,396.791666666667,279,NA,NA,NA,9.35,15406,117,117.791666666667,92,181.791666666667,64,4734.16666666667,11687,1803,1926
"Cyprus",275,364.791666666667,329,NA,NA,NA,0.44,3901,35,35.7916666666667,123,212.791666666667,177,5350.5,10888,NA,9756
"Denmark",214,303.791666666667,297,180,426.791666666667,420,0,1,6,6.79166666666667,122,211.791666666667,205,3771.5,10393,72182,60419
"Dominican Republic",214,303.791666666667,228,NA,NA,NA,0,0,75,75.7916666666667,153,242.791666666667,167,4337,6632,145142,72643
"Ecuador",191,280.791666666667,231,NA,NA,NA,0,17,49,49.7916666666667,153,242.791666666667,193,1740.66666666667,14369,163813,257032
"El Salvador",279,368.791666666667,291,NA,NA,NA,0,0,77,77.7916666666667,185,274.791666666667,197,3976.16666666667,10293,45477,67094
"Estonia",275,364.791666666667,339,NA,NA,NA,0.01,191,25,25.7916666666667,184,273.791666666667,248,3406.66666666667,6693,11945,8869
"Faeroe Islands",214,303.791666666667,245,180,426.791666666667,368,8.14,3993,58,58.7916666666667,122,211.791666666667,153,3710.16666666667,8603,1041,422
"Fiji",371,460.791666666667,355,NA,NA,NA,0,0,105,105.791666666667,154,243.791666666667,138,6268.16666666667,15809,NA,14274
"Finland",216,305.791666666667,273,213,459.791666666667,427,0,67,32,32.7916666666667,125,214.791666666667,182,4211.2,8396,10241,46585
"France",275,364.791666666667,339,208,454.791666666667,429,0,593,25,25.7916666666667,122,211.791666666667,186,3546.5,9276,690758,625388
